trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.49103472393024045}",20,10,16.620811119825504,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.8485702747846052}",20,11,14.508244403520408,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.9983462274487422}",25,0,-60.96158921269507,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9036922050915067}",25,0,-13.013524340279982,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.587782813560387}",20,7,22.89927053633407,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.12796368962740468}",25,12,20.00447554949753,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.3631854084160624}",25,11,30.137009872455135,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.7654140519453434}",30,14,21.86929194500538,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.9802426408101081}",20,9,10.450797539512635,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.9550736440472949}",20,6,-17.99280059540389,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.6960693098638898}",25,15,16.40899861862635,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.2666429323599373}",30,1,20.65440778236135,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.22806693448309956}",25,0,-5.137373753204435,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.6669380616522619}",30,8,30.967006385383883,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.9425194910508831}",25,0,-19.547940687182344,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9873392775238264}",35,9,31.83826916789633,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.7904239741978156}",20,0,17.660986084186955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.3999853149883513}",25,0,32.38753820397986,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.08838369930580556}",30,14,-4.684205199815803,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5551133015206257}",20,12,9.769964240204501,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.8859318072699817}",20,5,21.08857116325539,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.9998433086476912}",20,5,24.819291028200865,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.8689582973139933}",20,4,20.117358283640232,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.5253219888177297}",25,13,-19.61105231508052,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.05306853621402457}",25,0,-6.005070394327484,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.4321779448847783}",30,14,26.714060290684987,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.8116121923430246}",25,2,35.245798031751576,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.9923354691509287}",25,0,36.475831032054856,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.9301004142012892}",25,0,7.60716956372251,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.6401443394691997}",25,0,31.176640646390577,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.1934586046207122}",25,15,-25.117862609914308,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.3005925437436371}",30,20,-25.29166935115367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.7210481538680822}",25,0,-3.907758588386,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.9649660284921133}",25,0,21.59883505001084,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.9726265649744922}",20,0,18.61700849156098,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.7421541968137826}",20,0,-27.48935572078581,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.32997659774057014}",25,14,21.55347136612322,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.16299078079570548}",20,4,24.68090289908508,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.616052331690985}",25,0,-11.85312392055372,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9182827862121189}",30,0,31.311025210613213,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.9956855884367365}",30,0,36.41974583108228,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.8293098328631502}",20,7,18.923594347533726,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.45989010701310373}",20,16,8.726142880926044,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.022126756261955732}",20,0,27.05801633898032,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.49872621790648564}",20,14,3.3762809823844946,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.853220107722584}",25,0,1.3735337240676202,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.9988159580766447}",30,20,7.489229199963477,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
